,occorrenze,len
immaginazioni,1,13
imbroglian,1,10
guardatemi,1,10
imbrogli,1,8
imbasciate,1,10
imbarcarsi,1,10
accademie,1,9
hai,1,3
guerra,1,6
guastan,1,7
menateci,1,8
